식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
기장밥,밥류,166,59.1,3.44,0.57,0.15,36.77,0.0,4.0,25.0,1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,200g,한식
김밥,밥류,140,69.5,4.84,4.55,1.11,19.98,0.0,36.0,118.0,307,19.3,1.1,0.02,0.0,0.0,0.0,0.0,230g,한식
보리밥,밥류,161,59.9,2.9,0.24,0.24,36.77,2.57,7.0,28.0,4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,200g,한식
볶음밥,밥류,183,56.9,5.56,2.76,0.84,33.97,0.0,13.0,99.0,212,29.28,1.1,0.03,0.0,0.0,0.0,0.0,350g,한식
비빔밥,밥류,142,68.9,6.86,4.32,1.11,18.84,0.05,31.0,180.0,232,42.26,0.95,0.06,0.05,0.0,0.0,0.0,450g,한식
수수밥,밥류,161,60.8,3.16,0.92,0.15,35.02,0.08,4.0,26.0,1,0.0,0.13,0.0,0.0,0.0,0.0,0.08,200g,한식
알밥,밥류,128,72.8,4.73,5.11,1.59,15.75,2.3,43.0,128.0,430,45.98,0.59,0.03,0.55,0.0,0.07,0.56,330g,한식
영양돌솥밥,밥류,184,57.4,3.43,2.87,0.21,36.06,0.63,9.0,36.0,6,0.0,0.61,0.01,0.12,0.0,0.38,0.14,350g,한식
오므라이스,밥류,173,64.3,6.5,7.23,1.42,20.54,3.19,19.0,163.0,433,86.99,1.38,0.02,0.76,0.63,1.08,0.73,400g,한식
자장밥,밥류,122,74.4,4.27,4.72,1.02,15.57,0.03,11.0,137.0,236,5.75,0.58,0.01,0.02,0.0,0.02,0.0,470g,한식
잡곡밥,밥류,146,63.9,5.3,0.87,0.58,29.33,0.32,17.0,157.0,3,0.0,0.22,0.0,0.0,0.0,0.22,0.0,200g,한식
잡채밥,밥류,150,65.8,4.02,3.42,0.95,25.79,0.05,16.0,148.0,227,5.91,0.41,0.05,0.03,0.0,0.03,0.0,550g,한식
짬뽕밥,밥류,72,82.8,3.2,1.4,0.95,11.65,1.34,13.0,138.0,234,15.78,0.23,0.01,0.76,0.0,0.26,0.32,900g,한식
차조밥,밥류,157,61.5,2.84,0.65,0.18,34.86,0.04,4.0,27.0,1,0.0,0.14,0.0,0.0,0.0,0.0,0.04,200g,한식
찰밥,밥류,153,61.4,4.39,0.18,0.48,33.56,0.49,11.0,168.0,3,0.0,0.08,0.0,0.46,0.0,0.0,0.03,280g,한식
카레라이스,밥류,108,73.9,3.11,1.4,0.81,20.74,0.16,12.0,91.0,210,2.79,0.44,0.04,0.02,0.0,0.0,0.14,480g,한식
콩나물밥,밥류,123,70.1,4.68,1.58,1.28,22.39,0.04,16.0,241.0,272,3.14,0.42,0.01,0.04,0.0,0.0,0.0,320g,한식
하이라이스,밥류,112,72.7,4.02,1.13,0.84,21.34,0.0,10.0,77.0,246,2.83,0.13,0.0,0.0,0.0,0.0,0.0,360g,한식
현미밥,밥류,172,57.2,3.1,0.47,0.29,38.9,0.0,5.0,41.0,2,0.0,0.18,0.0,0.0,0.0,0.0,0.0,230g,한식
가래떡,빵 및 과자류,195,51.1,3.92,0.51,0.71,43.73,0.0,5.0,23.0,241,0.0,0.19,0.0,0.0,0.0,0.0,0.0,100g,한식
꿀떡,빵 및 과자류,228,44.2,3.74,1.73,0.88,49.48,0.29,15.0,39.0,275,0.0,0.3,0.0,0.17,0.0,0.05,0.08,100g,한식
모듬찰떡,빵 및 과자류,218,47.4,6.78,2.44,1.07,42.27,2.98,19.0,191.0,188,0.0,0.28,0.0,0.0,0.0,1.13,1.84,100g,한식
백설기,빵 및 과자류,230,43.8,3.71,1.45,0.63,50.4,0.11,6.0,31.0,211,0.0,0.12,0.0,0.0,0.0,0.0,0.11,100g,한식
시루떡,빵 및 과자류,224,45.3,3.77,1.85,0.93,48.13,0.04,14.0,161.0,195,0.0,0.11,0.0,0.0,0.0,0.0,0.04,100g,한식
약식,빵 및 과자류,220,47.2,4.21,2.45,0.9,45.24,13.24,13.0,85.0,221,0.0,0.27,0.0,2.48,0.0,8.58,2.17,100g,한식
인절미,빵 및 과자류,242,41.0,5.64,2.16,1.15,50.07,6.35,16.0,128.0,297,0.0,0.24,0.0,0.04,0.0,6.09,0.21,100g,한식
증편,빵 및 과자류,200,50.7,3.17,1.2,0.82,44.15,3.19,10.0,22.0,284,0.0,0.15,0.0,1.02,0.0,2.17,0.0,100g,한식
마늘빵,빵 및 과자류,438,10.6,12.06,17.58,1.78,57.94,7.36,50.0,178.0,519,26.68,8.66,0.18,0.0,0.0,7.36,0.0,50g,한식
머핀,빵 및 과자류,384,20.0,5.73,13.84,1.32,59.15,39.65,44.0,99.0,411,59.16,6.86,0.15,3.52,0.47,31.71,3.69,130g,한식
모닝빵,빵 및 과자류,314,29.3,9.5,7.43,1.59,52.17,7.97,30.0,115.0,489,40.54,3.03,0.06,1.56,0.0,2.14,4.27,70g,한식
모카빵,빵 및 과자류,339,23.9,8.55,8.05,1.54,57.96,12.53,89.0,173.0,354,52.07,3.76,0.31,3.29,0.0,6.79,2.45,150g,한식
베이글,빵 및 과자류,306,28.5,10.0,5.83,2.18,53.48,4.58,119.0,109.0,695,0.0,0.58,0.01,0.38,0.0,0.0,0.0,120g,한식
소보로빵,빵 및 과자류,392,19.6,8.27,15.13,1.39,55.63,16.69,42.0,120.0,396,50.53,6.39,0.57,1.71,1.57,9.31,1.13,70g,한식
식빵,빵 및 과자류,264,35.2,9.34,2.6,1.97,50.91,1.56,219.0,129.0,468,5.57,1.47,0.11,0.39,0.0,0.04,0.65,100g,한식
초코소라빵,빵 및 과자류,319,32.9,3.29,10.93,1.09,51.76,9.29,67.0,182.0,215,19.61,4.34,0.03,1.77,1.03,3.67,1.19,70g,한식
츄러스,빵 및 과자류,361,22.7,6.6,11.29,1.24,58.17,22.73,24.0,64.0,363,0.0,2.44,0.19,0.04,0.0,21.51,0.07,70g,한식
카스텔라,빵 및 과자류,335,29.9,10.03,11.47,0.56,47.99,33.77,38.0,96.0,63,211.21,1.14,0.01,0.03,0.0,33.37,0.2,70g,한식
크로와상,빵 및 과자류,446,20.6,7.52,26.98,1.55,43.31,6.1,37.0,111.0,457,24.5,9.75,0.27,2.72,0.02,0.67,2.06,150g,한식
페이스트리,빵 및 과자류,466,19.3,8.31,29.66,1.27,41.5,6.43,20.0,102.0,373,36.34,15.31,0.2,1.03,0.0,1.24,4.16,70g,한식
피자빵,빵 및 과자류,298,42.1,8.85,15.05,2.25,31.76,8.11,96.0,164.0,637,45.6,4.92,0.25,3.36,0.0,0.84,2.71,200g,한식
햄버거,빵 및 과자류,264,49.8,12.85,13.98,1.67,21.67,3.13,16.0,203.0,450,45.2,4.42,0.35,1.5,0.0,0.0,1.63,200g,한식
간짜장,면 및 만두류,125,73.3,5.12,4.89,1.52,15.13,0.86,12.0,125.0,455,6.05,0.8,0.03,0.09,0.0,0.0,0.77,500g,한식
떡국,면 및 만두류,84,79.0,3.43,0.53,0.65,16.37,0.08,4.0,51.0,176,16.7,0.24,0.0,0.05,0.0,0.0,0.03,700g,한식
떡만두국,면 및 만두류,111,76.3,3.53,3.91,0.76,15.47,0.01,15.0,91.0,206,11.33,0.57,0.02,0.01,0.0,0.0,0.0,600g,한식
라면,면 및 만두류,82,81.5,1.72,2.28,0.9,13.65,0.0,33.0,57.0,283,0.0,0.82,0.01,0.0,0.0,0.0,0.0,550g,한식
수제비,면 및 만두류,58,85.4,2.31,0.52,0.66,11.08,0.0,9.0,106.0,142,12.85,0.15,0.0,0.0,0.0,0.0,0.0,650g,한식
우동볶음,면 및 만두류,128,69.5,2.8,2.01,0.89,24.79,0.43,7.0,110.0,257,0.0,0.49,0.03,0.05,0.0,0.19,0.07,300g,한식
월남쌈,면 및 만두류,118,76.1,5.94,4.97,0.75,12.25,5.5,19.0,145.0,230,31.58,2.13,0.02,2.06,0.0,0.65,1.59,250g,한식
